Age,Gender_Женский,Gender_Мужской,Course_Бакалавриат 1 курс,Course_Бакалавриат 2 курс,Course_Бакалавриат 3 курс,Course_Бакалавриат 4 курс,Course_Магистатура,Speciality_Архитектура,Speciality_Бизнес,Speciality_Другое,Speciality_Инженерия,Speciality_Програмирование,Speciality_Психология,Speciality_Юриспруденция,Factor1,Factor2,Factor3,Factor4,Factor5,Total_Factor_Score,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Best_strategy,Total_Strategy_Score,Total_Result
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7466666666666667,0.7733333333333333,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.704,0.22496691662990737,0.211733568592854,0.1940891045434495,0.17865019850022057,0.19056021173356857,1,0.7556666666666667,0.7298333333333333
20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8533333333333334,0.6533333333333333,0.68,0.7333333333333333,0.52,0.6880000000000001,0.21637971149371799,0.16053978594695203,0.20846905537459282,0.2024197301070265,0.21219171707771053,1,0.7163333333333334,0.7021666666666667
21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9466666666666667,0.8,0.28,0.8266666666666667,0.76,0.7226666666666667,0.22966179159049363,0.09940585009140768,0.226691042047532,0.19195612431444242,0.2522851919561243,5,0.7293333333333333,0.726
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8933333333333333,0.8133333333333334,0.6133333333333333,0.8266666666666667,0.5066666666666667,0.7306666666666667,0.21608643457382953,0.12004801920768307,0.22088835534213686,0.22208883553421369,0.22088835534213686,4,0.833,0.7818333333333334
20,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.48,0.8666666666666667,0.9066666666666666,0.6933333333333334,0.52,0.6933333333333334,0.23144746509919178,0.213078618662748,0.18809698750918444,0.19103600293901543,0.1763409257898604,1,0.6805,0.6869166666666666
19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.72,0.68,0.9066666666666666,0.7466666666666667,0.5066666666666667,0.712,0.2488239663282991,0.230255013617232,0.18222332260460508,0.20797227036395147,0.13072542708591237,1,0.6731666666666667,0.6925833333333333
18,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.52,0.9866666666666667,0.49333333333333335,0.7733333333333333,0.6666666666666666,0.688,0.23510971786833856,0.1316614420062696,0.21065830721003134,0.18181818181818182,0.24075235109717869,5,0.7975,0.74275
20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.7733333333333333,0.88,0.6,0.6266666666666667,0.6,0.696,0.25455927051671734,0.14817629179331307,0.2066869300911854,0.1595744680851064,0.23100303951367782,1,0.658,0.677
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8933333333333333,0.6533333333333333,0.6266666666666667,0.76,0.72,0.7306666666666667,0.21501925545571243,0.1636713735558408,0.2053915275994865,0.17971758664955068,0.23620025673940948,5,0.7790000000000001,0.7548333333333335
20,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.64,0.6266666666666667,0.6933333333333334,0.76,0.6266666666666667,0.6693333333333333,0.20230585164237547,0.17293887317815965,0.21231237763758973,0.18272786599956492,0.22971503154231018,5,0.7661666666666667,0.71775
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8933333333333333,0.84,0.72,0.8666666666666667,0.64,0.792,0.19006744328632744,0.1870018393623544,0.21581851624770082,0.22072348252605767,0.1863887185775598,4,0.8154999999999999,0.80375
20,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6933333333333334,0.56,0.52,0.5733333333333334,0.64,0.5973333333333334,0.2030338389731622,0.13652275379229872,0.22777129521586933,0.2310385064177363,0.20163360560093352,4,0.7141666666666666,0.65575
21,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7333333333333333,0.49333333333333335,0.84,0.8533333333333334,0.72,0.728,0.1791326209930861,0.207416719044626,0.2011313639220616,0.2011313639220616,0.21118793211816467,5,0.7955,0.7617499999999999
22,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.6133333333333333,0.5466666666666666,0.6533333333333333,0.64,0.52,0.5946666666666667,0.1948051948051948,0.21174477696216826,0.1987577639751553,0.17786561264822134,0.21682665160926032,5,0.5903333333333334,0.5925
20,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.72,0.6933333333333334,0.5066666666666667,0.84,0.8133333333333334,0.7146666666666667,0.24178154825026513,0.16861081654294804,0.1900318133616119,0.16542948038176036,0.23414634146341468,1,0.7858333333333333,0.75025
24,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.7466666666666667,0.8933333333333333,0.5866666666666667,0.8533333333333334,0.8,0.776,0.25964391691394656,0.10385756676557863,0.22551928783382788,0.18545994065281898,0.22551928783382788,1,0.674,0.7250000000000001
22,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.6933333333333334,0.6666666666666666,0.5866666666666667,0.88,0.6,0.6853333333333333,0.1930541368743616,0.1470888661899898,0.222267620020429,0.20224719101123595,0.23534218590398365,5,0.8158333333333333,0.7505833333333334
21,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.8133333333333334,0.6933333333333334,0.6,0.6533333333333333,0.52,0.656,0.18718274111675132,0.18718274111675132,0.21319796954314724,0.20939086294416245,0.20304568527918784,3,0.7879999999999999,0.722
22,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.56,0.6933333333333334,0.7333333333333333,0.8933333333333333,0.7466666666666667,0.7253333333333333,0.23724660280686122,0.16707507239919805,0.2067275562486077,0.2071730897750056,0.1817776787703275,1,0.7481666666666666,0.73675
20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.72,0.84,0.68,0.7333333333333333,0.64,0.7226666666666668,0.20394484871696666,0.15224052087322865,0.2267330524703179,0.2240520873228648,0.19302949061662197,3,0.8703333333333333,0.7965
21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.5066666666666667,0.5066666666666667,0.28,0.7466666666666667,0.5866666666666667,0.5253333333333334,0.2100068854716548,0.14459490475097544,0.2129905898554051,0.23410603626348403,0.1983015836584806,4,0.7261666666666666,0.62575
20,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.76,0.84,0.4666666666666667,0.72,0.5466666666666666,0.6666666666666667,0.22835038682305966,0.14973795857249814,0.21162964811579738,0.1946593461442476,0.2156226603443973,1,0.6678333333333333,0.66725
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7733333333333333,0.6533333333333333,0.52,0.6533333333333333,0.6666666666666666,0.6533333333333333,0.21634615384615388,0.1097408026755853,0.2274247491638796,0.22575250836120403,0.22073578595317728,3,0.7973333333333332,0.7253333333333333
19,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.7733333333333333,0.68,0.4266666666666667,0.8266666666666667,0.6,0.6613333333333334,0.218562874251497,0.1407185628742515,0.22035928143712577,0.2095808383233533,0.21077844311377247,3,0.835,0.7481666666666666
19,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.6133333333333333,0.8933333333333333,0.9066666666666666,0.6933333333333334,0.5333333333333333,0.728,0.2818842395389627,0.2179904785767978,0.18441493360060135,0.19543973941368079,0.12027060886995741,1,0.6651666666666667,0.6965833333333333
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7066666666666667,0.5866666666666667,0.88,0.6666666666666666,0.48,0.6639999999999999,0.19577133907595926,0.254502740798747,0.1879404855129209,0.211433046202036,0.1503523884103367,2,0.6385000000000001,0.65125
19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6933333333333334,0.6133333333333333,0.7733333333333333,0.7333333333333333,0.5466666666666666,0.672,0.2401574803149606,0.23228346456692914,0.18897637795275588,0.21259842519685038,0.12598425196850394,1,0.635,0.6535
20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6266666666666667,0.7066666666666667,0.4666666666666667,0.8,0.6533333333333333,0.6506666666666667,0.24712254570074477,0.1015572105619499,0.22748815165876776,0.1963439404197698,0.22748815165876776,1,0.7384999999999999,0.6945833333333333
20,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5066666666666667,0.7733333333333333,0.48,0.8266666666666667,0.6933333333333334,0.656,0.22831050228310498,0.1728636660143509,0.19830397912589692,0.20221787345075015,0.19830397912589692,1,0.7665000000000001,0.71125
20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.8533333333333334,0.68,0.7866666666666666,0.8933333333333333,0.5466666666666666,0.7520000000000001,0.23815082885827693,0.1716086855008172,0.20919915946766288,0.22414195657249594,0.15689936960074716,1,0.7138333333333333,0.7329166666666667
20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.5733333333333334,0.6533333333333333,0.8,0.84,0.64,0.7013333333333333,0.20896215463199444,0.19851404690039473,0.19688878569770144,0.1950313443231948,0.20060366844671465,1,0.7178333333333333,0.7095833333333332
22,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5333333333333333,0.5466666666666666,0.76,0.64,0.4266666666666667,0.5813333333333334,0.2040544145105361,0.20005334755934914,0.21339023739663907,0.2160576153640971,0.16644438516937848,4,0.6248333333333334,0.6030833333333334
19,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.84,0.9333333333333333,0.28,0.6933333333333334,0.5866666666666667,0.6666666666666667,0.29889879391714735,0.1415836392239119,0.19297325642370214,0.16518091242789723,0.20136339800734138,1,0.6356666666666666,0.6511666666666667
19,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.8666666666666667,0.6,0.7733333333333333,0.9466666666666667,0.5066666666666667,0.7386666666666668,0.22133938706015888,0.19750283768444946,0.19977298524404083,0.21793416572077184,0.16345062429057886,1,0.7341666666666667,0.7364166666666667
19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.8666666666666667,0.8933333333333333,0.68,0.7866666666666666,0.5066666666666667,0.7466666666666667,0.21494708994708994,0.16203703703703703,0.20105820105820105,0.17857142857142858,0.24338624338624337,5,0.756,0.7513333333333334
19,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.68,0.8,0.7466666666666667,0.6,0.52,0.6693333333333333,0.2355316285329744,0.17496635262449528,0.20457604306864063,0.20188425302826377,0.18304172274562583,1,0.7430000000000001,0.7061666666666667
18,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5466666666666666,0.64,0.6266666666666667,0.7733333333333333,0.6266666666666667,0.6426666666666666,0.21035598705501618,0.15533980582524273,0.2174757281553398,0.22006472491909385,0.19676375404530747,4,0.7725,0.7075833333333332
19,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.7466666666666667,0.6,0.68,0.76,0.6,0.6773333333333335,0.1756440281030445,0.21077283372365338,0.1920374707259953,0.21077283372365338,0.21077283372365338,2,0.5693333333333334,0.6233333333333334
20,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7333333333333333,0.8266666666666667,0.8133333333333334,0.68,0.6533333333333333,0.7413333333333334,0.1889007470651014,0.192102454642476,0.2014941302027748,0.192102454642476,0.22540021344717182,5,0.7808333333333334,0.7610833333333333
20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.72,0.7866666666666666,0.6133333333333333,0.68,0.68,0.6960000000000001,0.2360195619817138,0.15628322347437806,0.2007229428024665,0.1722304911758452,0.23474378056559644,1,0.7838333333333333,0.7399166666666667
21,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9066666666666666,0.68,0.7733333333333333,0.7866666666666666,0.5733333333333334,0.744,0.1636363636363636,0.20454545454545453,0.22545454545454544,0.23181818181818178,0.17454545454545453,4,0.7333333333333334,0.7386666666666667
21,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.6266666666666667,0.52,0.84,0.72,0.4533333333333333,0.632,0.22803283672848892,0.3238066281544542,0.16539981757373062,0.13681970203709334,0.14594101550623292,2,0.5481666666666667,0.5900833333333333
20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.5466666666666666,0.6933333333333334,0.5066666666666667,0.7333333333333333,0.6933333333333334,0.6346666666666667,0.22658610271903323,0.1464094817569138,0.20450848245410178,0.18824076225888917,0.23425517081106204,5,0.7171666666666667,0.6759166666666667
21,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.44,0.7866666666666666,0.6266666666666667,0.6666666666666666,0.64,0.632,0.25244913338357194,0.18839487565938204,0.18085908063300676,0.17332328560663146,0.20497362471740768,1,0.6635000000000001,0.64775
21,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.9066666666666666,0.68,0.32,0.7466666666666667,0.41333333333333333,0.6133333333333333,0.2686350435624395,0.10890609874152953,0.20135527589545016,0.1887705711519845,0.23233301064859632,1,0.6886666666666666,0.651
21,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.6666666666666666,0.8133333333333334,0.76,0.6133333333333333,0.37333333333333335,0.6453333333333334,0.2928692699490662,0.23344651952461798,0.1765704584040747,0.16129032258064513,0.13582342954159593,1,0.5890000000000001,0.6171666666666668
20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.7866666666666666,0.6266666666666667,0.7493333333333332,0.29959514170040485,0.19028340080971662,0.1813765182186235,0.18623481781376516,0.1425101214574899,1,0.6174999999999999,0.6834166666666666
20,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6133333333333333,0.8,0.48,0.8,0.5466666666666666,0.648,0.2588757396449704,0.1405325443786982,0.21301775147928992,0.22189349112426032,0.16568047337278105,1,0.676,0.662
19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.64,0.7066666666666667,0.6266666666666667,0.64,0.6,0.6426666666666667,0.2284988892415106,0.18565534750872736,0.1878768644874643,0.1999365280863218,0.19803237067597587,1,0.5251666666666667,0.5839166666666666
20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.72,0.7466666666666667,0.30666666666666664,0.64,0.5066666666666667,0.5840000000000001,0.2887302080099348,0.1164234709717479,0.21856566283762807,0.24216081962123565,0.13411983855945359,1,0.5368333333333333,0.5604166666666667
23,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.6266666666666667,0.6533333333333333,0.68,0.6533333333333333,0.4533333333333333,0.6133333333333333,0.21911364199059175,0.17083436494181728,0.2178757118098539,0.23768259470165884,0.15449368655607826,4,0.6731666666666667,0.64325
20,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.8533333333333334,0.8,0.44,0.84,0.8266666666666667,0.752,0.2360817477096547,0.14094432699083861,0.2029598308668076,0.1832276250880902,0.23678646934460887,5,0.7095,0.73075
18,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7466666666666667,0.76,0.5866666666666667,0.8133333333333334,0.6666666666666666,0.7146666666666668,0.21648727984344424,0.1724559686888454,0.21917808219178084,0.22749510763209393,0.16438356164383564,4,0.6813333333333333,0.6980000000000001
